264472,291725,1
233969,250714,1
199837,210284,1
199850,199851,1
199850,204506,1
199850,242266,1
199850,205491,1
199859,236269,-1
199859,237489,-1
199859,239562,1
199859,243291,-1
199859,240182,-1
199865,199868,1
199879,215408,1
199885,228194,1
199886,199887,-1
199909,200691,1
199917,200691,1
199919,231082,1
199919,200691,1
199935,210765,-1
199940,236753,1
199947,242779,-1
199989,199990,1
200040,209513,1
200044,213168,-1
200071,204526,-1
200086,290844,1
200086,288221,1
200117,261087,1
200123,200124,1
200143,239999,1
200170,205639,-1
200237,203517,-1
200253,200254,1
200263,200264,1
200268,238456,1
200278,209535,1
199862,222705,1
200308,219761,1
200318,282519,1
200325,290708,1
200325,201331,1
200325,222720,1
200325,249887,1
200362,200922,1
200382,203517,1
200388,201651,1
200391,219592,1
200428,200691,1
200428,231082,1
200435,231127,1
200435,250283,1
200444,294730,1
200451,225095,1
200458,277624,1
200564,200565,1
200564,295607,1
200590,243291,1
200603,295437,-1
200627,200691,1
200627,213594,1
200627,231082,1
200627,224115,-1
200629,234543,1
200647,206843,1
200654,224083,1
200690,200691,1
200722,290081,1
200722,215880,1
200722,241080,1
200722,297793,1
200722,257987,1
200772,272176,1
200795,200875,1
200800,263022,1
200806,241842,1
200814,255573,1
200814,264620,1
200817,200818,1
200840,200841,1
200870,295982,1
200885,294744,-1
200902,200903,1
200926,216987,1
200933,242779,1
200938,200939,1
200938,288418,1
200938,261079,1
200938,206686,1
200938,239420,1
200938,277548,1
200953,224293,1
200953,222591,1
201012,278682,1
201049,269947,1
201067,208493,1
201068,201069,1
201076,294260,1
201103,201104,1
201114,201115,1
201133,293737,1
201161,266633,-1
201174,201175,1
201179,216805,1
201191,204486,1
201208,225095,1
201208,292402,1
201238,236422,1
201262,201263,1
201273,242264,1
201273,223756,1
201273,281664,1
201273,204621,1
201273,222705,1
201273,235890,1
201273,222081,1
201273,279580,1
201273,239232,1
201273,206979,1
201273,225865,1
201273,266294,1
201273,232957,1
201273,203772,1
201295,276559,1
201316,235425,1
201332,201333,1
201353,241527,1
201354,201355,1
201358,201359,1
201358,271943,1
201358,253361,1
